Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
J. Zadrobílek,Sparta Praha U19,Czech U17,Youth Academy,16.0,Czech Republic,,1063,0,98.92,7.87,0.51,0.93,4.15,0.93,0.58,1.69
Š. Sedlák,FC Vysočina Jihlava U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,907,0,98.67,7.94,0.79,1.09,1.79,0.2,0.13,2.18
M. Brázda,Zlín U19,Czech U19,Youth Academy,19.0,Czech Republic,unknown,1255,0,98.12,8.53,0.43,0.72,2.44,0.14,0.27,2.73
R. Filip,Baník Ostrava U19,Czech U19,Youth Academy,17.0,Slovakia,unknown,742,0,97.2,8.37,0.49,1.09,1.94,0.24,0.07,1.94
F. Rajcan,,Czech U19,Youth Academy,17.0,Slovakia,unknown,742,0,97.2,8.37,0.49,1.09,1.94,0.24,0.07,1.94
I. Hryhoruk,České Budějovice U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,524,0,97.18,9.27,1.2,0.52,1.37,0.17,0.14,2.06
P. Filippov,Podbrezová,Czech U19,Youth Academy,18.0,Czech Republic,,776,0,96.87,6.84,0.7,0.81,2.09,0.12,0.12,2.44
S. Mladen,Dukla Praha U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,994,0,96.4,6.97,0.81,0.36,2.35,0.54,0.22,3.17
S. Pavlik,České Budějovice U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,1587,0,96.03,6.98,0.74,0.28,3.29,0.45,0.55,3.29
D. Kolar,České Budějovice U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,795,0,95.91,8.83,0.45,1.36,1.47,0.11,0.14,1.13
R. Petruška,Žilina II,Slovakia II,Reserve / B Team,19.0,Czech Republic,right,1901,0,94.39,6.96,0.47,0.76,2.13,0.19,0.13,0.71
F. Rada,Viktoria Plzeň U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,719,0,93.87,7.89,0.63,0.38,1.75,0.13,0.23,1.13
P. Lubor,Slovan Liberec U19,Czech U17,Youth Academy,17.0,Czech Republic,,1010,0,92.19,8.82,0.89,0.27,1.25,0.27,0.17,1.07
Š. Sedlák,Vysočina Jihlava U19,Czech U19,Youth Academy,16.0,Czech Republic,unknown,615,0,91.92,5.41,0.59,1.17,1.61,0.15,0.2,1.17
V. Kotisek,Sparta Praha U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,1178,0,91.54,3.44,0.53,0.61,2.06,0.23,0.23,1.99
